username,total_time,avg_pause,max_pause,min_pause,typing_speed,error_count,error_rate,rhythm_variance
Aleezay,26.56,0.4918,5.4644,0.1105,1.43,16,0.3721,0.602238
Aleezay,18.21,0.4046,4.8832,0.1013,2.36,2,0.0465,0.516582
Aleezay,13.05,0.2966,1.4229,0.0948,3.3,1,0.0233,0.06492
Aleezay,12.85,0.2989,1.0374,0.1107,3.35,0,0.0,0.038576
Aleezay,10.67,0.2424,0.8392,0.0841,4.03,1,0.0233,0.01925
Aleezay,12.75,0.2897,0.9601,0.1225,3.37,1,0.0233,0.029832
Aleezay,16.45,0.3826,3.9889,0.0752,2.61,0,0.0,0.360341
Aleezay,13.69,0.2914,1.8781,0.0846,3.07,5,0.1163,0.127488
Sara,20.18,0.4692,5.8237,0.1097,2.13,0,0.0,0.828928
Sara,12.35,0.2745,1.267,0.1208,3.48,2,0.0465,0.038336
Sara,14.78,0.3285,2.1151,0.1222,2.91,2,0.0465,0.097292
Sara,13.31,0.3024,2.4862,0.0863,3.31,0,0.0,0.135881
Sara,11.67,0.2652,0.786,0.1341,3.69,1,0.0233,0.016124
Sara,11.02,0.2563,0.7332,0.095,3.9,0,0.0,0.015635
Sara,11.71,0.2724,0.9683,0.1157,3.67,0,0.0,0.034068
Sara,14.28,0.3174,2.5666,0.0754,3.01,2,0.0465,0.157453
